disる	でぃする
いかりくるう	怒り狂う
いかり狂う	いかりくるう
いかり狂う	怒り狂う
いかる	いかる
いかる	怒る
いがみあう	いがみあう
いがみあう	啀み合う
いがみ合う	いがみあう
いがみ合う	啀み合う
いがむ	いがむ
いがむ	ゆがむ
いきあう	いきあう
いきあう	行き合う
いきあがる	いきあがる
いきあたる	いきあたる
いきあたる	行き当たる
いきあわす	いきあわす
いきいそぐ	いきいそぐ
いきおいこむ	いきおいこむ
いきおいづく	いきおいづく
いきおいづく	勢い付く
いきおい付く	いきおいづく
いきおい付く	勢い付く
いきおい込む	いきおいこむ
いきおい込む	勢い込む
いきかう	いきかう
いきかう	行き交う
いきかえる	いきかえる
いきかえる	生き返る
いきかよう	いきかよう
いきがる	いきがる
いきごむ	いきごむ
いきごむ	意気込む
いきせききる	いきせききる
いきせき切る	いきせききる
いきせき切る	息急き切る
いきせく	いきせく
いきちがう	いきちがう
いきちがう	行き違う
いきつく	いきつく
いきつく	行き着く
いきづく	いきづく
いきづく	息衝く
いきづまる	いきづまる
いきづまる	息詰まる
いきづまる	行き詰まる
いきとどく	いきとどく
いきとどく	行き届く
いきどおる	いきどおる
いきどおる	憤る
いきどまる	いきどまる
いきなやむ	いきなやむ
いきぬく	いきぬく
いきのこる	いきのこる
いきのこる	生き残る
いきばる	いきばる
いきまく	いきまく
いきまく	息巻く
いきむ	いきむ
いきむ	息む
いきりたつ	いきりたつ
いきりたつ	熱り立つ
いきり勃つ	いきりたつ
いきり立つ	いきりたつ
いきり立つ	いきり立つ
いきり立つ	熱り立つ
いきる	いきる
いきわたる	いきわたる
いき上がる	いきあがる
いき上がる	生き上がる
いき上がる	生上がる
いき交う	いきかう
いき交う	行き交う
いき合う	いきあう
いき合う	行き合う
いき届く	いきとどく
いき届く	行き届く
いき巻く	いきまく
いき巻く	息巻く
いき張る	いきばる
いき張る	息張る
いき当たる	いきあたる
いき当たる	行き当たる
いき当る	いきあたる
いき当る	行き当たる
いき急ぐ	いきいそぐ
いき急ぐ	生き急ぐ
いき悩む	いきなやむ
いき悩む	行き悩む
いき抜く	いきぬく
いき抜く	生き抜く
いき抜く	生抜く
いき止まる	いきどまる
いき止まる	行き止まる
いき残る	いきのこる
いき残る	生き残る
いき残る	生残る
いき渡る	いきわたる
いき渡る	行き渡る
いき着く	いきつく
いき着く	行き着く
いき衝く	いきづく
いき衝く	息衝く
いき詰まる	いきづまる
いき詰まる	息詰まる
いき詰まる	行き詰まる
いき詰る	いきづまる
いき詰る	息詰まる
いき詰る	行き詰まる
いき込む	いきごむ
いき込む	意気込む
いき返る	いきかえる
いき返る	生き返る
いき返る	生返る
いき通う	いきかよう
いき通う	行き通う
いき違う	いきちがう
いき違う	行き違う
いく	いく
いく	いく 
いく	行く
いく	逝く
いけこむ	いけこむ
いけどる	いけどる
いけどる	生け捕る
いけ捕る	いけどる
いけ捕る	生け捕る
いけ込む	いけこむ
いけ込む	埋け込む
いけ込む	生け込む
いこう	いこう
いこう	憩う
いこむ	いこむ
いごかす	いごかす
いごく	いごく
いごく	うごく
いさかう	いさかう
いさみたつ	いさみたつ
いさみたつ	勇み立つ
いさみ立つ	いさみたつ
いさみ立つ	勇み立つ
いさむ	いさむ
いさむ	勇む
いざなう	いざなう
いざよう	いざよう
いざり寄る	いざりよる
いざる	いざる
いしずまる	いしずまる
いじくりまわす	いじくりまわす
いじくり回す	いじくりまわす
いじくり回す	いじくり回す
いじくり回す	弄くり回す
いじくる	いじくる
いじばる	いじばる
いじりまわす	いじりまわす
いじりまわす	いじり回す
いじり倒す	いじりたおす
いじり回す	いじりまわす
いじり回す	いじり回す
いじり廻す	いじりまわす
いじる	いじる
いじる	弄る
いじ張る	いじばる
いじ張る	意地張る
いすくまる	いすくまる
いすくまる	居竦まる
いすくむ	いすくむ
いすくむ	居竦む
いすわる	いすわる
いすわる	居座る
いせ込む	いせこむ
いそがす	いそがす
いそぐ	いそぐ
いそぐ	急ぐ
いそしむ	いそしむ
いそしむ	勤しむ
いたおす	いたおす
いたがる	いたがる
いたす	いたす
いたす	致す
いただく	いただく
いただく	頂く
いたぶり殺す	いたぶりころす
いたぶる	いたぶる
いたます	いたます
いたみいる	いたみいる
いたみ入る	いたみいる
いたみ入る	傷み入る
いたみ入る	痛み入る
いたみ悲しむ	いたみかなしむ
いたむ	いたむ
いたむ	悼む
いたむ	痛む
いたる	いたる
いたる	至る
いたわり包む	いたわりつつむ
いたわり合う	いたわりあう
いたわり導く	いたわりみちびく
いたわり思う	いたわりおもう
いたわり起こす	いたわりおこす
いたわる	いたわる
いたわる	労る
いたゞく	いただく
いだき合う	いだきあう
いだく	いだく
いだく	抱く
いだす	いだす
いちびる	いちびる
いちゃつく	いちゃつく
いぢくりまはす	いじくりまわす
いぢる	いじる
いっす	いっする
いっす	逸す
いつく	いつく
いつく	居着く
いつくしむ	いつくしむ
いつくしむ	慈しむ
いつぶす	いつぶす
いつわる	いつわる
いつわる	偽る
いてかえる	いてかえる
いてつく	いてつく
いてゆるむ	いてゆるむ
いて付く	いてつく
いて付く	凍て付く
いて緩む	いてゆるむ
いて緩む	凍て緩む
いて返る	いてかえる
